-1.5_-27.5_0.5,-1.5_-25.5_0.5,-1.5_-23.5_0.5,-1.5_-21.5_0.5,-1.5_-19.5_0.5,-1.5_-17.5_0.5,-1.5_-15.5_0.5,-1.5_-13.5_0.5,-1.5_-11.5_0.5,-1.5_-9.5_0.5,-1.5_-7.5_0.5,-1.5_-5.5_0.5,-1.5_-3.5_0.5,-1.5_-1.5_0.5,-1.5_0.5_0.5,-1.5_2.5_0.5,-1.5_4.5_0.5,-1.5_6.5_0.5,-1.5_8.5_0.5,-1.5_10.5_0.5,-1.5_12.5_0.5,-1.5_14.5_0.5,-1.5_16.5_0.5,-1.5_18.5_0.5,-1.5_20.5_0.5,-1.5_22.5_0.5,-1.5_24.5_0.5,-1.5_26.5_0.5,0.5_-27.5_0.5,0.5_-25.5_0.5,0.5_-23.5_0.5,0.5_-21.5_0.5,0.5_-19.5_0.5,0.5_-17.5_0.5,0.5_-15.5_0.5,0.5_-13.5_0.5,0.5_-11.5_0.5,0.5_-9.5_0.5,0.5_-7.5_0.5,0.5_-5.5_0.5,0.5_-3.5_0.5,0.5_-1.5_0.5,0.5_0.5_0.5,0.5_2.5_0.5,0.5_4.5_0.5,0.5_6.5_0.5,0.5_8.5_0.5,0.5_10.5_0.5,0.5_12.5_0.5,0.5_14.5_0.5,0.5_16.5_0.5,0.5_18.5_0.5,0.5_20.5_0.5,0.5_22.5_0.5,0.5_24.5_0.5,0.5_26.5_0.5,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.008047E-7,9.318363E-6,5.1022736E-5,1.1504547E-4,1.0682107E-4,4.0843777E-5,6.43097E-6,4.1697373E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.315756E-7,1.2386844E-5,6.782423E-5,1.5292926E-4,1.4199661E-4,5.4293392E-5,8.548651E-6,5.5428075E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.613649E-6,1.6769118E-5,7.176174E-5,1.264612E-4,9.177052E-5,2.7423996E-5,3.3747365E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0822908E-6,2.1639265E-5,9.260304E-5,1.6318851E-4,1.18422846E-4,3.538857E-5,4.35484E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.471908E-6,2.8198621E-5,9.4312476E-5,1.2989488E-4,7.367099E-5,1.7206106E-5,1.6548182E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3478344E-6,3.531284E-5,1.1810654E-4,1.6266601E-4,9.225742E-5,2.1547028E-5,2.0723116E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,4.5249448E-7,6.9750913E-6,4.427597E-5,1.1573586E-4,1.245803E-4,5.5222034E-5,1.0079919E-5,7.5767554E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.501375E-7,8.480235E-6,5.3830212E-5,1.4071031E-4,1.5146327E-4,6.71383E-5,1.2255047E-5,9.2117307E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,1.0859311E-6,1.3082701E-5,6.490441E-5,1.3259664E-4,1.1155076E-4,3.864507E-5,5.513118E-6,3.2387848E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2824796E-6,1.545061E-5,7.6651806E-5,1.5659604E-4,1.3174093E-4,4.5639652E-5,6.5109675E-6,3.8249902E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,2.432769E-6,2.2906279E-5,8.881573E-5,1.4180999E-4,9.3240655E-5,2.5245587E-5,2.8147977E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7927902E-6,2.6296142E-5,1.0195942E-4,1.627962E-4,1.0703919E-4,2.8981638E-5,3.2313549E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,2.8465766E-7,5.086904E-6,3.743396E-5,1.1343829E-4,1.4155824E-4,7.274317E-5,1.539327E-5,1.341378E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1791356E-7,5.681195E-6,4.1807285E-5,1.2669101E-4,1.5809615E-4,8.124158E-5,1.7191629E-5,1.4980881E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,7.112575E-7,9.933815E-6,5.713298E-5,1.3531293E-4,1.3196943E-4,5.3001597E-5,8.765692E-6,5.969872E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.729822E-7,1.0795897E-5,6.209112E-5,1.4705573E-4,1.4342206E-4,5.7601206E-5,9.5264E-6,6.4879526E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,1.6559866E-6,1.8076093E-5,8.125197E-5,1.5039898E-4,1.1464034E-4,3.5984183E-5,4.651226E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7557026E-6,1.9164552E-5,8.61446E-5,1.5945532E-4,1.2154346E-4,3.8150985E-5,4.9313016E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,3.59991E-6,3.0711282E-5,1.0789117E-4,1.5608293E-4,9.298363E-5,2.2810733E-5,2.3043772E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7252537E-6,3.1780604E-5,1.1164777E-4,1.615175E-4,9.6221185E-5,2.360497E-5,2.3846121E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,4.5090812E-7,7.300814E-6,4.8678383E-5,1.336542E-4,1.5111608E-4,7.0359114E-5,1.348999E-5,1.0650856E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5603971E-7,7.383902E-6,4.9232374E-5,1.3517527E-4,1.5283587E-4,7.115984E-5,1.3643515E-5,1.0772069E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,1.0914555E-6,1.3811722E-5,7.197327E-5,1.5444585E-4,1.3647806E-4,4.9662784E-5,7.44185E-6,4.5921104E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.080439E-6,1.3672315E-5,7.124682E-5,1.5288698E-4,1.3510055E-4,4.916152E-5,7.3667366E-6,4.5457608E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,2.4641959E-6,2.4371124E-5,9.925617E-5,1.6646429E-4,1.1496516E-4,3.269588E-5,3.8291414E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3912446E-6,2.364963E-5,9.6317744E-5,1.615362E-4,1.11561676E-4,3.1727934E-5,3.7157815E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,5.193172E-6,4.0141316E-5,1.2777094E-4,1.6747662E-4,9.0397814E-5,2.009293E-5,1.8391205E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9439395E-6,3.821484E-5,1.2163892E-4,1.5943903E-4,8.6059415E-5,1.9128624E-5,1.7508569E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
